Journal,number of articles
Ecology,482
Oecologia,287
Ecological Applications,222
Canadian Journal of Forest Research,214
Biogeochemistry,194
Ecosystems,183
Limnology and Oceanography,176
BioScience,172
Soil Biology and Biochemistry,148
Global Change Biology,147
Soil Scinece Society of America Journal,146
Journal of Arid Environments,143
Water Resources Research,135
Forest Ecology and Management,133
Antarctic Journal of the US,132
Science,131
Bulletin of the Ecological Society of America,123
Hydrobiologia,115
Journal of Range Management,115
Canadian Journal of Fisheries and Aquatic Sciences,114
Marine Ecology Progress Series,110
Journal of Geophysical Research,108
American Midland Naturalist,107
Freshwater Biology,105
Oikos,105
Plant and Soil,101
Nature,100
Biotropica,90
Ecological Modelling,89
Journal of Ecology,85
Remote Sensing of the Environment,84
Hydrological Processes,81
Verhandlungen Internationale Vereinlgung fur Theoretische und Angewandte Limnologie,80
Frontiers in Ecology and the Environment,77
Landscape Ecology,76
American Journal of Botany,73
Applied and Environmental Microbology,72
Journal of the North American Benthological Society,72
"Water, Air, and Soil Pollution",68
Proceedings of the National Academy of Sciences USA,65
Ecology Letters,63
Global Biogeochemical Cycles,62
Canadian Journal of Botany,59
Ecological Monographs,56
Southwestern Naturalist,55
Estuaries and Coasts,54
American Naturalist,53
New Phytologist,53
Journal of Vegetation Science,52
AMBIO: A Journal of the Human Environment,51
