"YEAR","num_papers","num_crosspapers","avg_num_sites","max_num_sites","avg_num_authors"
1981,137,23,2.34782608695652,4,2.04379562043796
1982,166,30,2.66666666666667,6,2.10843373493976
1983,204,28,2.71428571428571,5,2.11764705882353
1984,208,24,2.29166666666667,3,1.86538461538462
1985,260,46,2.6304347826087,6,2.13461538461538
1986,265,56,2.64285714285714,7,2.36603773584906
1987,265,54,2.94444444444444,8,2.54716981132075
1988,377,97,2.64948453608247,9,2.46949602122016
1989,335,82,2.64634146341463,8,2.49850746268657
1990,385,77,2.46753246753247,7,2.35064935064935
1991,414,101,2.5049504950495,7,2.59178743961353
1992,445,114,2.64035087719298,8,2.62921348314607
1993,463,127,2.84251968503937,7,2.84233261339093
1994,435,127,2.8740157480315,7,2.90114942528736
1995,522,160,2.9375,8,3.19731800766284
1996,538,169,2.75739644970414,8,3.13940520446097
1997,522,157,2.73248407643312,8,3.12068965517241
1998,708,256,2.9140625,9,3.4180790960452
1999,690,295,3.35932203389831,10,3.78405797101449
2000,717,297,3.0976430976431,8,3.76429567642957
2001,732,282,3.10992907801418,12,3.69808743169399
2002,754,287,3.14982578397213,13,3.84615384615385
2003,831,397,3.27707808564232,14,4.35980746089049
2004,780,362,3.01657458563536,11,4.44230769230769
2005,820,381,3.25984251968504,11,4.4109756097561
2006,973,452,3.09734513274336,13,4.775950668037
2007,777,371,3.03234501347709,11,4.54311454311454
2008,925,417,3.65467625899281,15,4.95243243243243
2009,780,357,3.48459383753501,24,5.13589743589744
2010,626,294,3.13605442176871,17,4.87220447284345
2011,613,293,3.89419795221843,15,5.66231647634584
2012,339,158,3.54430379746835,15,5.64601769911504
2013,392,158,3.83544303797468,12,5.14795918367347
2014,93,25,2.88,6,3.31182795698925
2015,168,68,3.05882352941176,10,5.89880952380952
